name,lo,la
61023,106.9762,33.4283
61024,107.9816,33.438
61025,106.624,33.4786
61026,106.0072,33.4953
61027,106.3696,33.4782
61028,107.2557,33.5489
61029,107.5512,33.5734
61030,106.9027,33.6182
61031,107.9362,33.7034
61032,106.6783,33.7455
61033,107.5132,33.7948
61034,107.8302,33.8494
61035,107.1071,33.8741
61036,106.5056,33.9141
61037,106.8294,33.9745
61038,107.5463,34.0542
61039,108.1251,34.0616
61040,106.611,34.1062
61041,106.8341,34.1909
61042,107.4201,34.2796
61043,108.0312,34.3218
61044,107.0625,34.3534
61045,107.656,34.5046
61046,106.7117,34.4876
61047,108.0268,34.5315
61048,106.4352,34.5462
61049,106.9369,34.5532
61050,107.4085,34.603
61051,107.1672,34.6372
61052,106.6126,34.7047
61053,106.8908,34.7554
61054,107.4904,34.7659
61055,108.0255,34.8243
61056,107.1911,34.8774
61057,107.7783,34.9236
61058,106.5937,34.9631
61059,108.1203,35.0652
61060,107.7716,35.1672
61061,108.7718,36.5263
61062,108.098,36.6449
61063,108.4732,36.6767
61064,108.7776,36.8473
61065,107.9206,36.9492
61066,107.5989,36.9708
61067,108.384,36.9604
61068,107.4163,37.1305
61069,107.9891,37.2053
61070,108.7703,37.1729
61071,107.7406,37.2182
61072,108.3793,37.2209
61073,107.6248,37.3935
61074,107.3111,37.4472
61075,108.8187,37.4816
61076,108.0443,37.4875
61077,108.4253,37.4941
61078,107.5317,37.6279
62300,105.0434,32.8211
62301,104.4552,33.0035
62302,105.7809,33.0693
62303,105.1996,33.1034
62304,105.5812,33.0652
62305,104.9476,33.2044
62306,104.6099,33.3623
62307,105.3144,33.3689
62308,102.2083,33.3898
62309,104.8734,33.578
62310,105.5407,33.5903
62311,105.2126,33.6184
62312,104.4301,33.6516
62313,105.888,33.6589
62314,106.3244,33.7746
62315,101.6979,33.7732
62316,102.13,33.791
62317,106.1,33.8359
62318,105.4581,33.892
62319,104.882,33.918
62320,103.3407,33.8669
62321,103.722,33.9347
62322,101.7252,34.0821
62323,104.3913,34.0488
62324,105.1473,34.1184
62325,103.6079,34.4079
62326,102.1407,34.2059
62327,104.0489,34.2514
62328,104.9064,34.1786
62329,105.56,34.1838
62330,106.3094,34.1751
62331,105.9713,34.3436
62332,103.3304,34.5074
62333,102.6898,34.3545
62334,106.4471,34.3314
62335,104.9546,34.4538
62336,105.548,34.4723
62337,104.2039,34.5027
62338,102.5663,34.5715
62339,104.6443,34.6191
62340,103.8065,34.6549
62341,103.0016,34.7096
62342,105.2499,34.7127
62343,106.2118,34.7457
62344,102.6007,34.8077
62345,102.2191,34.6427
62346,105.7956,34.8364
62347,104.2073,34.8124
62348,104.5974,34.9232
62349,103.6292,34.9764
62350,103.0776,34.9953
62351,105.014,35.0177
62352,105.5279,35.0813
62353,107.3785,35.1204
62354,106.2132,35.1433
62355,103.9333,35.1559
62356,106.9965,35.162
62357,104.4677,35.1804
62358,106.5679,35.1798
62359,102.4843,35.1874
62360,105.1652,35.2007
62361,102.8828,35.2364
62362,103.6516,35.2761
62363,105.9618,35.2738
62364,104.2425,35.3588
62365,107.8211,35.407
62366,105.4542,35.4407
62367,107.1402,35.4388
62368,104.9533,35.4808
62369,107.4819,35.4509
62370,108.3569,35.4787
62371,103.2866,35.4758
62372,104.589,35.5523
62373,106.6379,35.5975
62374,103.7167,35.622
62375,105.5873,35.6166
62376,102.9773,35.6617
62377,107.6868,35.7585
62378,108.0645,35.7495
62379,105.2317,35.7579
62380,107.017,35.7768
62381,104.8629,35.8024
62382,104.4215,35.816
62383,103.8804,35.8759
62384,103.1149,35.8744
62385,107.4873,36.0057
62386,108.2341,36.0038
62387,107.9074,36.0106
62388,103.4502,36.031
62389,107.0383,36.0491
62390,104.2387,36.0681
62391,104.7088,36.0862
62392,105.1517,36.161
62393,104.0185,36.3257
62394,107.0993,36.3268
62395,102.8997,36.3402
62396,108.2513,36.3604
62397,103.3871,36.4139
62398,104.4605,36.3774
62399,104.8261,36.3941
62400,107.5099,36.3604
62401,103.5602,36.4933
62402,106.7156,36.5699
62403,107.8882,36.5574
62404,103.8561,36.5626
62405,107.1027,36.5836
62406,104.4743,36.6508
62407,105.0072,36.6357
62408,103.0489,36.6657
62409,107.718,36.7515
62410,106.9146,36.7989
62411,107.2846,36.8459
62412,103.6817,36.8639
62413,103.157,36.8879
62414,102.8091,36.8812
62415,104.0716,36.9383
62416,104.4186,36.8798
62417,104.8383,36.9785
62418,103.4951,37.1121
62419,102.9218,37.1445
62420,103.8654,37.2329
62421,104.4278,37.2718
62422,103.308,37.3526
62423,103.6547,37.4117
62424,102.8871,37.457
62425,102.4144,37.5151
62426,103.1395,37.7163
62427,103.434,37.6996
62428,101.7577,37.8148
62429,102.6467,37.7479
62430,102.2065,37.9166
62431,101.5592,38.0106
